mitoyennete;annee_construction/gte;annee_construction/lte;2s/p;u;ue;tv_ue_id
terre_plein;2001;;12;1.5;0.31;191
terre_plein;2001;;14;1.5;0.27;192
terre_plein;2001;;16;1.5;0.24;193
terre_plein;2001;;18;1.5;0.24;194
terre_plein;2001;;20;1.5;0.21;195
terre_plein;2001;;3;0.85;0.49;196
terre_plein;2001;;4;0.85;0.45;197
terre_plein;2001;;5;0.85;0.42;198
terre_plein;2001;;6;0.85;0.38;199
terre_plein;2001;;7;0.85;0.36;200
terre_plein;2001;;8;0.85;0.33;201
terre_plein;2001;;9;0.85;0.31;202
terre_plein;2001;;10;0.85;0.3;203
terre_plein;2001;;12;0.85;0.27;204
terre_plein;2001;;14;0.85;0.24;205
terre_plein;2001;;16;0.85;0.22;206
terre_plein;2001;;18;0.85;0.21;207
terre_plein;2001;;20;0.85;0.19;208
terre_plein;2001;;3;0.6;0.39;209
terre_plein;2001;;4;0.6;0.36;210
terre_plein;2001;;5;0.6;0.34;211
terre_plein;2001;;6;0.6;0.32;212
terre_plein;2001;;7;0.6;0.3;213
terre_plein;2001;;8;0.6;0.28;214
terre_plein;2001;;9;0.6;0.27;215
terre_plein;2001;;10;0.6;0.26;216
terre_plein;2001;;12;0.6;0.23;217
terre_plein;2001;;14;0.6;0.21;218
terre_plein;2001;;16;0.6;0.2;219
terre_plein;2001;;18;0.6;0.18;220
terre_plein;2001;;20;0.6;0.17;221
terre_plein;2001;;3;0.46;0.33;222
terre_plein;2001;;4;0.46;0.31;223
terre_plein;2001;;5;0.46;0.29;224
terre_plein;2001;;6;0.46;0.27;225
terre_plein;2001;;7;0.46;0.26;226
terre_plein;2001;;8;0.46;0.25;227
terre_plein;2001;;9;0.46;0.24;228
terre_plein;2001;;10;0.46;0.23;229
terre_plein;2001;;12;0.46;0.21;230
terre_plein;2001;;14;0.46;0.19;231
terre_plein;2001;;16;0.46;0.18;232
terre_plein;2001;;18;0.46;0.17;233
terre_plein;2001;;20;0.46;0.16;234
terre_plein;2001;;3;0.37;0.28;235
terre_plein;2001;;4;0.37;0.26;236
terre_plein;2001;;5;0.37;0.25;237
terre_plein;2001;;6;0.37;0.24;238
terre_plein;2001;;7;0.37;0.23;239
terre_plein;2001;;8;0.37;0.22;240
terre_plein;2001;;9;0.37;0.21;241
terre_plein;2001;;10;0.37;0.2;242
terre_plein;2001;;12;0.37;0.19;243
terre_plein;2001;;14;0.37;0.17;244
terre_plein;2001;;16;0.37;0.16;245
terre_plein;2001;;18;0.37;0.15;246
terre_plein;2001;;20;0.37;0.14;247
terre_plein;2001;;3;0.31;0.25;248
terre_plein;2001;;4;0.31;0.23;249
terre_plein;2001;;5;0.31;0.22;250
terre_plein;2001;;6;0.31;0.21;251
terre_plein;2001;;7;0.31;0.2;252
terre_plein;2001;;8;0.31;0.2;253
terre_plein;2001;;9;0.31;0.19;254
terre_plein;2001;;10;0.31;0.18;255
terre_plein;2001;;12;0.31;0.17;256
terre_plein;2001;;14;0.31;0.16;257
terre_plein;2001;;16;0.31;0.15;258
terre_plein;2001;;18;0.31;0.14;259
terre_plein;2001;;20;0.31;0.13;260
