deltar;uw;ujn;tv_ujn_id
0.19;2.5;2.1;136
0.19;2.6;2.2;137
0.19;2.7;2.2;138
0.19;2.8;2.3;139
0.19;2.9;2.4;140
0.19;3;2.5;141
0.19;3.1;2.5;142
0.19;3.2;2.6;143
0.19;3.3;2.7;144
0.19;3.4;2.7;145
0.19;3.5;2.8;146
0.19;3.6;2.9;147
0.19;3.7;2.9;148
0.19;3.8;3;149
0.19;3.9;3.1;150
0.19;4;3.1;151
0.19;4.1;3.2;152
0.19;4.2;3.3;153
0.19;4.3;3.3;154
0.19;4.4;3.4;155
0.19;4.5;3.5;156
0.19;4.6;3.5;157
0.19;4.7;3.6;158
0.19;4.8;3.7;159
0.19;4.9;3.7;160
0.19;5;3.8;161
0.19;5.1;3.8;162
0.19;5.2;3.9;163
0.19;5.3;4;164
0.19;5.4;4;165
0.19;5.5;4.1;166
0.19;5.6;4.2;167
0.19;5.7;4.2;168
0.19;5.8;4.3;169
0.19;5.9;4.3;170
0.19;6;4.4;171
0.19;6.1;4.5;172
0.19;6.2;4.5;173
0.19;6.3;4.6;174
0.19;6.4;4.6;175
0.19;6.5;4.7;176
0.19;6.6;4.8;177
0.25;0.8;0.7;178
0.25;0.9;0.8;179
0.25;1;0.9;180
0.25;1.1;1;181
0.25;1.2;1.1;182
0.25;1.3;1.1;183
0.25;1.4;1.2;184
0.25;1.5;1.3;185
0.25;1.6;1.4;186
0.25;1.7;1.4;187
0.25;1.8;1.5;188
0.25;1.9;1.6;189
0.25;2;1.7;190
0.25;2.1;1.7;191
0.25;2.2;1.8;192
0.25;2.3;1.9;193
0.25;2.4;2;194
0.25;2.5;2;195
0.25;2.6;2.1;196
0.25;2.7;2.2;197
0.25;2.8;2.2;198
0.25;2.9;2.3;199
0.25;3;2.4;200
0.25;3.1;2.4;201
0.25;3.2;2.5;202
0.25;3.3;2.6;203
0.25;3.4;2.6;204
0.25;3.5;2.7;205
0.25;3.6;2.7;206
0.25;3.7;2.8;207
0.25;3.8;2.9;208
0.25;3.9;2.9;209
0.25;4;3;210
0.25;4.1;3.1;211
0.25;4.2;3.1;212
0.25;4.3;3.2;213
0.25;4.4;3.2;214
0.25;4.5;3.3;215
0.25;4.6;3.4;216
0.25;4.7;3.4;217
0.25;4.8;3.5;218
0.25;4.9;3.6;219
0.25;5;3.6;220
0.25;5.1;3.7;221
0.25;5.2;3.7;222
0.25;5.3;3.8;223
0.25;5.4;3.8;224
0.25;5.5;3.9;225
0.25;5.6;4;226
0.25;5.7;4;227
0.25;5.8;4.1;228
0.25;5.9;4.1;229
0.25;6;4.2;230
0.25;6.1;4.3;231
0.25;6.2;4.3;232
0.25;6.3;4.4;233
0.25;6.4;4.4;234
0.25;6.5;4.5;235
0.25;6.6;4.5;236
