uvue;isolation_aiu;isolation_aue;aiu_aue/gt;aiu_aue/lte;b;tv_coef_reduction_deperdition_id
0;0;1;0.25;0.5;0.2;138
0;0;1;0.5;0.75;0.15;139
0;0;1;0.75;1;0.15;140
0;0;1;1;1.25;0.1;141
0;0;1;1.25;2;0.05;142
0;0;1;2;2.5;0.05;143
0;0;1;2.5;3;0.05;144
0;0;1;3;3.5;0.05;145
0;0;1;3.5;4;0.05;146
0;0;1;4;6;0;147
0;0;1;6;8;0;148
0;0;1;8;10;0;149
0;0;1;10;25;0;150
0;0;1;25;50;0;151
0;0;1;50;;0;152
0.3;0;1;;0.25;0.5;153
0.3;0;1;0.25;0.5;0.35;154
0.3;0;1;0.5;0.75;0.25;155
0.3;0;1;0.75;1;0.2;156
0.3;0;1;1;1.25;0.15;157
0.3;0;1;1.25;2;0.1;158
0.3;0;1;2;2.5;0.1;159
0.3;0;1;2.5;3;0.1;160
0.3;0;1;3;3.5;0.05;161
0.3;0;1;3.5;4;0.05;162
0.3;0;1;4;6;0.05;163
0.3;0;1;6;8;0.05;164
0.3;0;1;8;10;0.05;165
0.3;0;1;10;25;0;166
0.3;0;1;25;50;0;167
0.3;0;1;50;;0;168
3;0;1;;0.25;0.85;169
3;0;1;0.25;0.5;0.7;170
3;0;1;0.5;0.75;0.65;171
3;0;1;0.75;1;0.55;172
3;0;1;1;1.25;0.5;173
3;0;1;1.25;2;0.4;174
3;0;1;2;2.5;0.35;175
3;0;1;2.5;3;0.3;176
3;0;1;3;3.5;0.25;177
3;0;1;3.5;4;0.25;178
3;0;1;4;6;0.2;179
3;0;1;6;8;0.15;180
3;0;1;8;10;0.1;181
3;0;1;10;25;0.1;182
3;0;1;25;50;0.05;183
3;0;1;50;;0;184
9;0;1;;0.25;0.95;185
9;0;1;0.25;0.5;0.9;186
9;0;1;0.5;0.75;0.85;187
9;0;1;0.75;1;0.8;188
9;0;1;1;1.25;0.75;189
9;0;1;1.25;2;0.65;190
9;0;1;2;2.5;0.6;191
9;0;1;2.5;3;0.55;192
9;0;1;3;3.5;0.5;193
9;0;1;3.5;4;0.45;194
9;0;1;4;6;0.35;195
9;0;1;6;8;0.3;196
9;0;1;8;10;0.25;197
9;0;1;10;25;0.2;198
9;0;1;25;50;0.1;199
9;0;1;50;;0.05;200
0;1;1;;0.25;0.8;201
0;1;1;0.25;0.5;0.65;202
0;1;1;0.5;0.75;0.55;203
0;1;1;0.75;1;0.5;204
0;1;1;1;1.25;0.45;205
0;1;1;1.25;2;0.35;206
0;1;1;2;2.5;0.3;207
0;1;1;2.5;3;0.25;208
0;1;1;3;3.5;0.2;209
0;1;1;3.5;4;0.2;210
0;1;1;4;6;0.15;211
0;1;1;6;8;0.1;212
0;1;1;8;10;0.1;213
0;1;1;10;25;0.05;214
0;1;1;25;50;0.05;215
0;1;1;50;;0;216
0.3;1;1;;0.25;0.9;217
0.3;1;1;0.25;0.5;0.8;218
0.3;1;1;0.5;0.75;0.7;219
0.3;1;1;0.75;1;0.65;220
0.3;1;1;1;1.25;0.6;221
0.3;1;1;1.25;2;0.45;222
0.3;1;1;2;2.5;0.4;223
0.3;1;1;2.5;3;0.35;224
0.3;1;1;3;3.5;0.35;225
0.3;1;1;3.5;4;0.3;226
0.3;1;1;4;6;0.25;227
0.3;1;1;6;8;0.2;228
0.3;1;1;8;10;0.15;229
0.3;1;1;10;25;0.1;230
0.3;1;1;25;50;0.05;231
0.3;1;1;50;;0.05;232
3;1;1;;0.25;0.95;233
3;1;1;0.25;0.5;0.95;234
3;1;1;0.5;0.75;0.9;235
3;1;1;0.75;1;0.9;236
3;1;1;1;1.25;0.9;237
3;1;1;1.25;2;0.8;238
3;1;1;2;2.5;0.8;239
3;1;1;2.5;3;0.75;240
3;1;1;3;3.5;0.7;241
3;1;1;3.5;4;0.7;242
3;1;1;4;6;0.6;243
3;1;1;6;8;0.55;244
3;1;1;8;10;0.45;245
3;1;1;10;25;0.4;246
3;1;1;25;50;0.25;247
3;1;1;50;;0.1;248
9;1;1;;0.25;1;249
9;1;1;0.25;0.5;1;250
9;1;1;0.5;0.75;0.95;251
9;1;1;0.75;1;0.95;252
9;1;1;1;1.25;0.95;253
9;1;1;1.25;2;0.95;254
9;1;1;2;2.5;0.9;255
9;1;1;2.5;3;0.9;256
9;1;1;3;3.5;0.9;257
9;1;1;3.5;4;0.85;258
9;1;1;4;6;0.8;259
9;1;1;6;8;0.75;260
9;1;1;8;10;0.7;261
9;1;1;10;25;0.65;262
9;1;1;25;50;0.45;263
9;1;1;50;;0.3;264
